inventory_date,store_id,product_id,stock_qty,stock_value,reorder_point,days_of_cover,stock_status
2024-01-31,S001,P0078,0,0.0,1,0.0,Low
2024-01-31,S001,P0079,0,0.0,1,0.0,Low
2024-01-31,S001,P0080,2,347.3,1,20.0,Normal
2024-01-31,S001,P0081,0,0.0,1,0.0,Low
2024-01-31,S001,P0082,4,272.72,1,25.2,Normal
2024-01-31,S001,P0083,0,0.0,1,0.0,Low
2024-01-31,S001,P0084,1,196.35,1,8.0,Low
2024-01-31,S001,P0085,2,372.14,1,20.0,Normal
2024-01-31,S001,P0086,1,76.24,1,10.0,Low
2024-01-31,S001,P0087,0,0.0,1,0.0,Low
2024-01-31,S001,P0088,2,307.34,1,12.8,Normal
2024-01-31,S001,P0089,2,72.3,1,18.3,Normal
2024-01-31,S001,P0090,5,773.75,2,35.2,Normal
2024-01-31,S001,P0091,5,404.2,2,39.8,Normal
2024-01-31,S001,P0092,5,524.35,2,29.0,Normal
2024-01-31,S001,P0093,9,419.49,3,47.1,Normal
2024-01-31,S001,P0094,4,371.16,2,27.6,Normal
2024-01-31,S001,P0095,4,321.52,2,25.2,Normal
2024-01-31,S001,P0096,3,191.85,1,30.0,Normal
2024-01-31,S001,P0097,4,253.2,1,37.5,Normal
2024-01-31,S001,P0098,1,97.62,1,9.4,Low
2024-01-31,S001,P0099,5,530.85,2,41.6,Normal
2024-01-31,S001,P0100,3,180.51,1,28.9,Normal
2024-01-31,S001,P0101,3,245.55,1,29.7,Normal
2024-01-31,S001,P0102,4,448.96,2,28.7,Normal
2024-01-31,S001,P0103,3,403.74,1,30.0,Normal
2024-01-31,S001,P0104,4,531.68,1,40.0,Normal
2024-01-31,S001,P0105,5,788.75,1,50.0,Overstock
2024-01-31,S001,P0106,6,468.12,1,60.0,Overstock
2024-01-31,S001,P0107,4,356.84,2,30.5,Normal
2024-01-31,S001,P0108,2,257.96,2,16.6,Low
2024-01-31,S001,P0109,3,294.12,1,30.0,Normal
2024-01-31,S001,P0110,2,77.34,2,17.4,Low
2024-01-31,S001,P0111,1,105.77,1,10.0,Low
2024-01-31,S001,P0112,3,247.29,2,25.5,Normal
2024-01-31,S001,P0113,5,281.45,3,25.1,Normal
2024-01-31,S001,P0114,1,87.84,1,10.0,Low
2024-01-31,S001,P0115,4,479.6,2,25.7,Normal
2024-01-31,S001,P0116,2,290.04,1,18.3,Normal
2024-01-31,S001,P0117,1,73.62,2,5.7,Low
2024-01-31,S001,P0118,3,234.24,1,30.0,Normal
2024-01-31,S001,P0119,3,86.16,2,26.8,Normal
2024-01-31,S001,P0120,3,457.35,1,29.7,Normal
2024-01-31,S001,P0121,0,0.0,1,0.0,Low
2024-01-31,S001,P0122,6,1457.94,1,60.0,Overstock
2024-01-31,S001,P0123,4,538.4,1,40.0,Normal
2024-01-31,S001,P0124,4,697.12,1,40.0,Normal
2024-01-31,S001,P0125,2,691.54,1,20.0,Normal
2024-01-31,S001,P0126,7,1828.68,2,70.0,Normal
2024-01-31,S001,P0127,4,424.56,2,40.0,Normal
2024-01-31,S001,P0128,2,377.8,1,20.0,Normal
2024-01-31,S001,P0129,0,0.0,1,0.0,Low
2024-01-31,S001,P0130,6,2063.22,2,46.7,Normal
2024-01-31,S001,P0131,0,0.0,2,0.0,Low
2024-01-31,S001,P0132,1,382.87,1,10.0,Low
2024-01-31,S001,P0133,0,0.0,1,0.0,Low
2024-01-31,S001,P0134,2,764.48,1,20.0,Normal
2024-01-31,S001,P0135,2,234.1,2,20.0,Low
2024-01-31,S001,P0136,1,388.01,1,10.0,Low
2024-01-31,S001,P0137,4,1023.08,2,40.0,Normal
2024-01-31,S001,P0138,0,0.0,1,0.0,Low
2024-01-31,S001,P0139,4,1188.2,1,40.0,Normal
2024-01-31,S001,P0140,8,2608.8,3,59.8,Normal
2024-01-31,S001,P0141,5,417.25,2,50.0,Normal
2024-01-31,S001,P0142,6,2037.54,2,54.9,Normal
2024-01-31,S001,P0143,0,0.0,2,0.0,Low
2024-01-31,S001,P0144,0,0.0,1,0.0,Low
2024-01-31,S001,P0145,0,0.0,1,0.0,Low
2024-01-31,S001,P0146,3,1048.74,1,30.0,Normal
2024-01-31,S001,P0147,0,0.0,1,0.0,Low
2024-01-31,S001,P0148,2,535.02,1,20.0,Normal
2024-01-31,S001,P0149,3,1180.08,2,29.7,Normal
2024-01-31,S001,P0150,2,746.36,1,20.0,Normal
2024-01-31,S001,P0151,3,221.58,1,30.0,Normal
2024-01-31,S001,P0152,2,687.26,1,20.0,Normal
2024-01-31,S001,P0153,4,1261.76,1,40.0,Normal
2024-01-31,S001,P0154,3,545.43,1,30.0,Normal
2024-01-31,S001,P0155,3,966.9,2,26.1,Normal
2024-01-31,S001,P0156,1,448.72,1,10.0,Low
2024-01-31,S001,P0157,5,864.75,2,50.0,Normal
2024-01-31,S001,P0158,4,759.64,2,40.0,Normal
2024-01-31,S001,P0159,3,456.69,1,30.0,Normal
2024-01-31,S001,P0160,2,772.8,1,20.0,Normal
2024-01-31,S001,P0161,6,1109.16,2,60.0,Normal
2024-01-31,S001,P0162,1,87.3,2,10.0,Low
2024-01-31,S001,P0163,3,937.17,1,30.0,Normal
2024-01-31,S001,P0164,3,864.42,1,30.0,Normal
2024-01-31,S001,P0165,1,140.06,1,10.0,Low
2024-01-31,S001,P0166,0,0.0,2,0.0,Low
2024-01-31,S001,P0167,2,618.38,1,20.0,Normal
2024-01-31,S001,P0168,1,430.67,1,10.0,Low
2024-01-31,S001,P0169,1,282.07,1,10.0,Low
2024-01-31,S001,P0170,4,858.16,2,40.0,Normal
2024-01-31,S001,P0171,0,0.0,1,0.0,Low
2024-01-31,S001,P0172,0,0.0,1,0.0,Low
2024-01-31,S001,P0173,6,1023.42,2,60.0,Normal
2024-01-31,S001,P0174,1,279.76,1,10.0,Low
2024-01-31,S001,P0175,7,2323.72,2,59.6,Normal
2024-01-31,S001,P0176,2,358.96,1,20.0,Normal
2024-01-31,S001,P0177,0,0.0,1,0.0,Low
2024-01-31,S001,P0178,0,0.0,1,0.0,Low
2024-01-31,S001,P0179,0,0.0,1,0.0,Low
2024-01-31,S001,P0180,1,85.45,1,10.0,Low
2024-01-31,S001,P0181,0,0.0,1,0.0,Low
2024-01-31,S001,P0182,0,0.0,1,0.0,Low
2024-01-31,S001,P0183,2,48.76,1,8.9,Normal
2024-01-31,S001,P0184,2,95.08,1,14.9,Normal
2024-01-31,S001,P0185,3,250.17,1,28.9,Normal
2024-01-31,S001,P0186,3,231.27,1,30.0,Normal
2024-01-31,S001,P0187,0,0.0,1,0.0,Low
2024-01-31,S001,P0188,0,0.0,1,0.0,Low
2024-01-31,S001,P0189,0,0.0,1,0.0,Low
2024-01-31,S001,P0190,1,92.88,1,9.9,Low
2024-01-31,S001,P0191,0,0.0,1,0.0,Low
2024-01-31,S001,P0192,2,230.28,1,15.9,Normal
2024-01-31,S001,P0193,0,0.0,1,0.0,Low
2024-01-31,S001,P0194,1,103.21,1,8.5,Low
2024-01-31,S001,P0195,0,0.0,1,0.0,Low
2024-01-31,S001,P0196,0,0.0,1,0.0,Low
2024-01-31,S001,P0197,0,0.0,1,0.0,Low
2024-01-31,S001,P0198,1,21.5,1,6.7,Low
2024-01-31,S001,P0199,0,0.0,1,0.0,Low
2024-01-31,S001,P0200,0,0.0,1,0.0,Low
2024-01-31,S001,P0201,1,111.82,1,10.0,Low
2024-01-31,S001,P0202,0,0.0,1,0.0,Low
2024-01-31,S001,P0203,4,201.56,1,40.0,Normal
2024-01-31,S001,P0204,0,0.0,1,0.0,Low
2024-01-31,S001,P0205,1,276.03,1,10.0,Low
2024-01-31,S001,P0206,1,200.57,1,10.0,Low
2024-01-31,S001,P0207,2,571.96,1,20.0,Normal
2024-01-31,S001,P0208,1,344.81,1,10.0,Low
2024-01-31,S001,P0209,0,0.0,1,0.0,Low
2024-01-31,S001,P0210,0,0.0,1,0.0,Low
2024-01-31,S001,P0211,4,854.96,1,40.0,Normal
2024-01-31,S001,P0212,4,1264.12,1,40.0,Normal
2024-01-31,S001,P0213,1,275.06,1,10.0,Low
2024-01-31,S001,P0214,3,620.28,1,30.0,Normal
2024-01-31,S001,P0215,0,0.0,1,0.0,Low
2024-01-31,S001,P0216,2,365.2,1,20.0,Normal
2024-01-31,S001,P0217,0,0.0,1,0.0,Low
2024-01-31,S001,P0218,5,1408.15,1,42.6,Overstock
2024-01-31,S001,P0219,8,1598.32,1,79.1,Overstock
2024-01-31,S001,P0220,6,1005.48,2,38.5,Normal
2024-01-31,S001,P0221,4,785.16,1,40.0,Normal
2024-01-31,S001,P0222,0,0.0,1,0.0,Low
2024-01-31,S001,P0223,2,489.12,1,20.0,Normal
2024-01-31,S001,P0224,1,326.46,1,10.0,Low
2024-01-31,S001,P0225,0,0.0,1,0.0,Low
2024-01-31,S001,P0226,0,0.0,1,0.0,Low
2024-01-31,S001,P0227,2,693.34,1,20.0,Normal
2024-01-31,S001,P0228,3,610.05,1,30.0,Normal
2024-01-31,S001,P0229,4,435.2,1,40.0,Normal
2024-01-31,S001,P0230,0,0.0,2,0.0,Low
2024-01-31,S001,P0231,1,154.11,1,10.0,Low
2024-01-31,S001,P0232,1,281.2,1,10.0,Low
2024-01-31,S002,P0001,4,568.64,2,21.9,Normal
2024-01-31,S002,P0002,4,469.16,2,23.6,Normal
2024-01-31,S002,P0003,2,133.84,2,10.5,Low
2024-01-31,S002,P0004,4,711.72,2,24.8,Normal
2024-01-31,S002,P0005,3,236.76,2,22.4,Normal
2024-01-31,S002,P0006,7,642.81,2,40.0,Normal
2024-01-31,S002,P0007,0,0.0,1,0.0,Low
2024-01-31,S002,P0008,6,628.32,3,25.2,Normal
2024-01-31,S002,P0009,6,948.0,2,29.7,Normal
2024-01-31,S002,P0010,2,305.42,2,13.3,Low
2024-01-31,S002,P0011,1,167.84,1,8.0,Low
2024-01-31,S002,P0012,9,1185.84,3,30.8,Normal
2024-01-31,S002,P0013,3,231.24,2,14.3,Normal
2024-01-31,S002,P0014,1,99.98,1,7.6,Low
2024-01-31,S002,P0015,4,718.52,2,24.4,Normal
2024-01-31,S002,P0016,8,1166.48,1,68.1,Overstock
2024-01-31,S002,P0017,5,754.45,2,31.0,Normal
2024-01-31,S002,P0018,3,280.29,2,16.9,Normal
2024-01-31,S002,P0019,1,160.51,1,7.8,Low
2024-01-31,S002,P0020,0,0.0,2,0.0,Low
2024-01-31,S002,P0021,7,567.63,2,35.1,Normal
2024-01-31,S002,P0022,2,352.12,1,15.9,Normal
2024-01-31,S002,P0023,7,1104.81,2,45.8,Normal
2024-01-31,S002,P0024,2,184.7,2,9.0,Low
2024-01-31,S002,P0025,8,683.04,2,43.7,Normal
2024-01-31,S002,P0026,4,294.08,2,21.9,Normal
2024-01-31,S002,P0027,1,142.47,1,10.0,Low
2024-01-31,S002,P0028,6,794.22,3,26.1,Normal
2024-01-31,S002,P0029,7,797.09,2,36.1,Normal
2024-01-31,S002,P0030,2,291.48,1,15.6,Normal
2024-01-31,S002,P0031,3,537.96,2,16.4,Normal
2024-01-31,S002,P0032,5,516.05,1,49.5,Overstock
2024-01-31,S002,P0033,4,109.68,1,39.6,Normal
2024-01-31,S002,P0034,0,0.0,1,0.0,Low
2024-01-31,S002,P0035,4,516.48,1,20.9,Normal
2024-01-31,S002,P0036,4,209.48,1,24.8,Normal
2024-01-31,S002,P0037,1,40.22,1,9.2,Low
2024-01-31,S002,P0038,0,0.0,1,0.0,Low
2024-01-31,S002,P0039,2,72.3,1,13.6,Normal
2024-01-31,S002,P0040,2,157.42,1,20.0,Normal
2024-01-31,S002,P0041,4,285.2,1,32.5,Normal
2024-01-31,S002,P0042,3,141.09,1,20.7,Normal
2024-01-31,S002,P0043,0,0.0,1,0.0,Low
2024-01-31,S002,P0044,1,117.92,1,4.6,Low
2024-01-31,S002,P0045,0,0.0,1,0.0,Low
2024-01-31,S002,P0046,1,131.53,1,4.7,Low
2024-01-31,S002,P0047,1,80.85,1,5.7,Low
2024-01-31,S002,P0048,5,219.65,1,35.2,Overstock
2024-01-31,S002,P0049,2,263.1,1,8.6,Normal
2024-01-31,S002,P0050,3,315.33,1,14.6,Normal
2024-01-31,S002,P0051,0,0.0,1,0.0,Low
2024-01-31,S002,P0052,1,109.61,1,6.9,Low
2024-01-31,S002,P0053,0,0.0,1,0.0,Low
2024-01-31,S002,P0054,0,0.0,1,0.0,Low
2024-01-31,S002,P0055,0,0.0,1,0.0,Low
2024-01-31,S002,P0056,7,271.53,1,43.4,Overstock
2024-01-31,S002,P0057,0,0.0,1,0.0,Low
2024-01-31,S002,P0058,1,90.0,1,7.3,Low
2024-01-31,S002,P0059,0,0.0,1,0.0,Low
2024-01-31,S002,P0060,0,0.0,1,0.0,Low
2024-01-31,S002,P0061,0,0.0,1,0.0,Low
2024-01-31,S002,P0062,2,299.82,1,12.4,Normal
2024-01-31,S002,P0063,3,403.38,1,17.7,Normal
2024-01-31,S002,P0064,0,0.0,1,0.0,Low
2024-01-31,S002,P0065,2,128.36,1,14.6,Normal
2024-01-31,S002,P0066,1,217.01,1,5.2,Low
2024-01-31,S002,P0067,4,361.56,1,31.1,Normal
2024-01-31,S002,P0068,1,56.35,1,4.6,Low
2024-01-31,S002,P0069,0,0.0,1,0.0,Low
2024-01-31,S002,P0070,3,486.57,1,15.2,Normal
2024-01-31,S002,P0071,4,809.96,1,18.3,Normal
2024-01-31,S002,P0072,0,0.0,1,0.0,Low
2024-01-31,S002,P0073,0,0.0,1,0.0,Low
2024-01-31,S002,P0074,3,496.65,1,16.9,Normal
2024-01-31,S002,P0075,1,209.83,1,5.1,Low
2024-01-31,S002,P0076,2,83.34,1,10.8,Normal
2024-01-31,S002,P0077,2,117.16,1,11.3,Normal
2024-01-31,S002,P0078,2,147.72,1,14.9,Normal
2024-01-31,S002,P0079,4,717.28,1,34.0,Normal
2024-01-31,S002,P0080,1,173.65,1,9.2,Low
2024-01-31,S002,P0081,2,431.2,1,13.6,Normal
2024-01-31,S002,P0082,1,68.18,1,9.2,Low
2024-01-31,S002,P0083,1,84.36,1,10.0,Low
2024-01-31,S002,P0084,0,0.0,1,0.0,Low
2024-01-31,S002,P0085,0,0.0,1,0.0,Low
2024-01-31,S002,P0086,2,152.48,1,20.0,Normal
2024-01-31,S002,P0087,2,173.08,1,12.0,Normal
2024-01-31,S002,P0088,1,153.67,1,6.4,Low
2024-01-31,S002,P0089,2,72.3,2,14.1,Low
2024-01-31,S002,P0090,0,0.0,2,0.0,Low
2024-01-31,S002,P0091,3,242.52,1,29.7,Normal
2024-01-31,S002,P0092,7,734.09,2,38.2,Normal
2024-01-31,S002,P0093,5,233.05,3,26.5,Normal
2024-01-31,S002,P0094,5,463.95,3,25.4,Normal
2024-01-31,S002,P0095,8,643.04,2,56.3,Normal
2024-01-31,S002,P0096,3,191.85,1,28.2,Normal
2024-01-31,S002,P0097,6,379.8,2,40.7,Normal
2024-01-31,S002,P0098,2,195.24,2,15.9,Low
2024-01-31,S002,P0099,4,424.68,2,24.8,Normal
2024-01-31,S002,P0100,3,180.51,2,22.0,Normal
2024-01-31,S002,P0101,4,327.4,1,40.0,Normal
2024-01-31,S002,P0102,0,0.0,2,0.0,Low
2024-01-31,S002,P0103,3,403.74,2,25.5,Normal
2024-01-31,S002,P0104,2,265.84,2,12.4,Low
2024-01-31,S002,P0105,10,1577.5,4,38.5,Normal
2024-01-31,S002,P0106,1,78.02,2,8.3,Low
2024-01-31,S002,P0107,2,178.42,2,13.1,Low
2024-01-31,S002,P0108,3,386.94,2,18.9,Normal
2024-01-31,S002,P0109,3,294.12,2,26.8,Normal
2024-01-31,S002,P0110,2,77.34,2,14.4,Low
2024-01-31,S002,P0111,4,423.08,2,34.9,Normal
2024-01-31,S002,P0112,4,329.72,1,40.0,Normal
2024-01-31,S002,P0113,8,450.32,3,41.2,Normal
2024-01-31,S002,P0114,5,439.2,1,50.0,Overstock
2024-01-31,S002,P0115,5,599.5,2,38.9,Normal
2024-01-31,S002,P0116,1,145.02,2,7.2,Low
2024-01-31,S002,P0117,4,294.48,2,23.2,Normal
2024-01-31,S002,P0118,0,0.0,2,0.0,Low
2024-01-31,S002,P0119,8,229.76,2,48.0,Normal
2024-01-31,S002,P0120,11,1676.95,3,59.2,Normal
2024-01-31,S002,P0121,5,310.0,2,41.6,Normal
2024-01-31,S002,P0122,6,1457.94,3,36.0,Normal
2024-01-31,S002,P0123,4,538.4,2,40.0,Normal
2024-01-31,S002,P0124,3,522.84,1,30.0,Normal
2024-01-31,S002,P0125,6,2074.62,2,59.4,Normal
2024-01-31,S002,P0126,8,2089.92,2,80.0,Normal
2024-01-31,S002,P0127,8,849.12,3,47.2,Normal
2024-01-31,S002,P0128,5,944.5,2,45.8,Normal
2024-01-31,S002,P0129,2,637.64,1,20.0,Normal
2024-01-31,S002,P0130,4,1375.48,3,25.2,Normal
2024-01-31,S002,P0131,6,817.44,1,60.0,Overstock
2024-01-31,S002,P0132,3,1148.61,1,30.0,Normal
2024-01-31,S002,P0133,0,0.0,2,0.0,Low
2024-01-31,S002,P0134,1,382.24,2,7.8,Low
2024-01-31,S002,P0135,2,234.1,2,19.8,Low
2024-01-31,S002,P0136,3,1164.03,1,30.0,Normal
2024-01-31,S002,P0137,2,511.54,2,20.0,Low
2024-01-31,S002,P0138,1,380.1,2,10.0,Low
2024-01-31,S002,P0139,5,1485.25,2,50.0,Normal
2024-01-31,S002,P0140,7,2282.7,3,37.7,Normal
2024-01-31,S002,P0141,3,250.35,2,23.4,Normal
2024-01-31,S002,P0142,3,1018.77,1,30.0,Normal
2024-01-31,S002,P0143,4,1201.92,1,40.0,Normal
2024-01-31,S002,P0144,2,669.58,2,17.9,Low
2024-01-31,S002,P0145,0,0.0,1,0.0,Low
2024-01-31,S002,P0146,3,1048.74,1,30.0,Normal
2024-01-31,S002,P0147,5,1798.75,3,36.6,Normal
2024-01-31,S002,P0148,8,2140.08,2,62.3,Normal
2024-01-31,S002,P0149,1,393.36,1,10.0,Low
2024-01-31,S002,P0150,0,0.0,1,0.0,Low
2024-01-31,S002,P0151,5,369.3,2,50.0,Normal
2024-01-31,S002,P0152,2,687.26,2,17.9,Low
2024-01-31,S002,P0153,4,1261.76,1,40.0,Normal
2024-01-31,S002,P0154,6,1090.86,1,60.0,Overstock
2024-01-31,S002,P0155,3,966.9,2,30.0,Normal
2024-01-31,S002,P0156,0,0.0,1,0.0,Low
2024-01-31,S002,P0157,6,1037.7,2,53.6,Normal
2024-01-31,S002,P0158,3,569.73,2,28.2,Normal
2024-01-31,S002,P0159,2,304.46,3,11.4,Low
2024-01-31,S002,P0160,0,0.0,2,0.0,Low
2024-01-31,S002,P0161,0,0.0,1,0.0,Low
2024-01-31,S002,P0162,2,174.6,3,14.1,Low
2024-01-31,S002,P0163,3,937.17,1,30.0,Normal
2024-01-31,S002,P0164,7,2016.98,3,50.2,Normal
2024-01-31,S002,P0165,7,980.42,3,48.3,Normal
2024-01-31,S002,P0166,0,0.0,2,0.0,Low
2024-01-31,S002,P0167,2,618.38,2,20.0,Low
2024-01-31,S002,P0168,4,1722.68,2,40.0,Normal
2024-01-31,S002,P0169,0,0.0,1,0.0,Low
2024-01-31,S002,P0170,0,0.0,2,0.0,Low
2024-01-31,S002,P0171,4,1784.84,2,40.0,Normal
2024-01-31,S002,P0172,0,0.0,1,0.0,Low
2024-01-31,S002,P0173,3,511.71,1,30.0,Normal
2024-01-31,S002,P0174,4,1119.04,1,40.0,Normal
2024-01-31,S002,P0175,6,1991.76,2,47.7,Normal
2024-01-31,S002,P0176,2,358.96,1,20.0,Normal
2024-01-31,S002,P0177,0,0.0,1,0.0,Low
2024-01-31,S002,P0178,0,0.0,1,0.0,Low
2024-01-31,S002,P0179,0,0.0,1,0.0,Low
2024-01-31,S002,P0180,0,0.0,1,0.0,Low
2024-01-31,S002,P0181,0,0.0,1,0.0,Low
2024-01-31,S002,P0182,2,150.1,1,20.0,Normal
2024-01-31,S002,P0183,0,0.0,1,0.0,Low
2024-01-31,S002,P0184,0,0.0,1,0.0,Low
2024-01-31,S002,P0185,1,83.39,1,9.4,Low
2024-01-31,S002,P0186,0,0.0,1,0.0,Low
2024-01-31,S002,P0187,2,259.32,1,13.6,Normal
2024-01-31,S002,P0188,1,71.7,1,7.8,Low
2024-01-31,S002,P0189,0,0.0,1,0.0,Low
2024-01-31,S002,P0190,0,0.0,1,0.0,Low
2024-01-31,S002,P0191,2,59.38,1,15.9,Normal
2024-01-31,S002,P0192,0,0.0,1,0.0,Low
2024-01-31,S002,P0193,1,70.82,1,4.9,Low
2024-01-31,S002,P0194,2,206.42,1,12.0,Normal
2024-01-31,S002,P0195,1,49.38,1,5.7,Low
2024-01-31,S002,P0196,0,0.0,1,0.0,Low
2024-01-31,S002,P0197,0,0.0,1,0.0,Low
2024-01-31,S002,P0198,2,43.0,1,16.3,Normal
2024-01-31,S002,P0199,0,0.0,1,0.0,Low
2024-01-31,S002,P0200,1,122.59,1,6.7,Low
2024-01-31,S002,P0201,1,111.82,1,7.0,Low
2024-01-31,S002,P0202,2,161.28,1,19.3,Normal
2024-01-31,S002,P0203,4,201.56,1,29.3,Normal
2024-01-31,S002,P0204,5,613.85,1,36.6,Overstock
2024-01-31,S002,P0205,6,1656.18,2,43.9,Normal
2024-01-31,S002,P0206,4,802.28,1,35.7,Normal
2024-01-31,S002,P0207,3,857.94,1,28.9,Normal
2024-01-31,S002,P0208,0,0.0,1,0.0,Low
2024-01-31,S002,P0209,0,0.0,1,0.0,Low
2024-01-31,S002,P0210,2,540.82,1,20.0,Normal
2024-01-31,S002,P0211,0,0.0,1,0.0,Low
2024-01-31,S002,P0212,4,1264.12,1,31.1,Normal
2024-01-31,S002,P0213,1,275.06,2,5.9,Low
2024-01-31,S002,P0214,4,827.04,1,40.0,Normal
2024-01-31,S002,P0215,1,267.03,1,7.8,Low
2024-01-31,S002,P0216,4,730.4,2,24.0,Normal
2024-01-31,S002,P0217,4,358.76,1,35.7,Normal
2024-01-31,S002,P0218,0,0.0,1,0.0,Low
2024-01-31,S002,P0219,2,399.58,1,20.0,Normal
2024-01-31,S002,P0220,1,167.58,1,10.0,Low
2024-01-31,S002,P0221,4,785.16,1,31.1,Normal
2024-01-31,S002,P0222,3,792.27,2,21.1,Normal
2024-01-31,S002,P0223,5,1222.8,1,50.0,Overstock
2024-01-31,S002,P0224,3,979.38,1,30.0,Normal
2024-01-31,S002,P0225,4,816.32,2,25.7,Normal
2024-01-31,S002,P0226,5,1314.75,1,41.6,Overstock
2024-01-31,S002,P0227,5,1733.35,2,35.9,Normal
2024-01-31,S002,P0228,2,406.7,1,17.9,Normal
2024-01-31,S002,P0229,4,435.2,2,28.7,Normal
2024-01-31,S002,P0230,1,159.89,2,6.9,Low
2024-01-31,S002,P0231,0,0.0,1,0.0,Low
2024-01-31,S002,P0232,0,0.0,1,0.0,Low
2024-01-31,S003,P0001,11,1563.76,5,26.7,Normal
2024-01-31,S003,P0002,15,1759.35,7,25.9,Normal
2024-01-31,S003,P0003,8,535.36,5,16.5,Normal
2024-01-31,S003,P0004,17,3024.81,6,33.8,Normal
